Activity,Subject,Acc_SNR,Gyro_SNR,Acc_Kurtosis,Gyro_Kurtosis,Acc_Slope,Gyro_Slope,Acc_Label,Gyro_Label
Waist Bends,1,7.81984096426475,4.785050702643848,0.390855684783193,-0.4080263625136724,0.5854765538479202,0.49878441732340784,Chest Acc,R-Arm Gyro
Waist Bends,2,12.389775531518632,7.196816188003923,1.4983792796894964,0.445721953700315,0.26755235646340814,0.3297988372264999,Chest Acc,R-Arm Gyro
Waist Bends,3,8.453589475333875,5.477433346728811,-0.23514384630258922,-0.4786611835569774,0.3209077579634636,0.3359583568418131,Chest Acc,R-Arm Gyro
Waist Bends,4,9.599504239380684,5.670875885395158,0.04870693667146009,0.3615444994160879,0.32164142971150544,0.33796073061279663,Chest Acc,R-Arm Gyro
Waist Bends,5,5.258627268336945,3.389074837044135,0.6327865772375261,1.8113041827006953,0.37291500748035,0.52636268171841,Chest Acc,R-Arm Gyro
Waist Bends,6,5.936917306739832,3.2457108966549697,-0.14522260137027665,-0.39153289530776414,0.3109230379032957,0.39718936777914704,Chest Acc,R-Arm Gyro
Waist Bends,7,10.382239187888116,6.635558235712667,-0.30555330008248216,-0.49635850014680427,0.24190515295540227,0.24915454492083094,Chest Acc,R-Arm Gyro
Waist Bends,8,4.799728312288917,3.069299602022723,-0.9843497916754296,-1.112549905614131,0.2765237626878145,0.4883029448336644,Chest Acc,R-Arm Gyro
Waist Bends,9,8.53976595160101,4.818805638526379,-0.23170708768018988,-0.5514059392904485,0.2834614496966266,0.26033198322254486,Chest Acc,R-Arm Gyro
Waist Bends,10,7.854223423677603,5.277203923715093,-0.5542290903847253,-0.8556554839453145,0.27945090772723324,0.2651026922785714,Chest Acc,R-Arm Gyro
Arm Elevation,1,3.7989658678669325,67.21133214202774,0.08035760818491511,-0.45171247438756,0.6024128530444272,0.0029146650784642866,R-Arm Acc,R-Arm Gyro
Arm Elevation,2,5.200411415191132,50.70843199303798,0.032154128573343765,-0.40228528418560616,0.2978675036858788,0.0029337314519323806,R-Arm Acc,R-Arm Gyro
Arm Elevation,3,3.485931550159735,70.52141768832848,-0.08109076129407367,-0.4984558061648232,0.39604550919811377,0.002725931080751066,R-Arm Acc,R-Arm Gyro
Arm Elevation,4,3.448036968094202,70.51066901696365,-0.09577130472140949,-0.3917966576139231,0.41275196936081177,0.0029091156711418607,R-Arm Acc,R-Arm Gyro
Arm Elevation,5,2.341519259358189,35.66760920262279,1.5306704520788532,-1.2371646957923517,0.7892513835751271,0.0030061084381073264,R-Arm Acc,R-Arm Gyro
Arm Elevation,6,2.9424910589439284,29.851009445334586,-0.3916358106580562,-1.4117138728104475,0.6890670789723139,0.003309513466096679,R-Arm Acc,R-Arm Gyro
Arm Elevation,7,4.241465604933337,38.42659736342969,-1.003906199315055,-1.3487154929841507,0.30897406568936586,0.0028725837032213177,R-Arm Acc,R-Arm Gyro
Arm Elevation,8,3.252065567840628,35.76013425749929,-0.14317931797039885,76.52722978177034,0.4267922937284441,0.0030745428100860794,R-Arm Acc,R-Arm Gyro
Arm Elevation,9,3.388877896903217,92.12457708075786,-0.23526477415020386,-0.17627589538915567,0.49781634525178825,0.002762650232120718,R-Arm Acc,R-Arm Gyro
Arm Elevation,10,4.225835983452711,112.06304705294781,-0.7012124862013427,0.21181623824337903,0.4189530226215189,0.002499510602285418,R-Arm Acc,R-Arm Gyro
Crouching,1,11.959368709589139,37.701319346379336,12.512729657256648,-1.2049661328201886,0.5348710995354087,0.002741153899091134,L-Ankle Acc,L-Ankle Gyro
Crouching,2,16.48527418174104,51.29065999252276,28.115560281908323,-1.0701744256406795,0.39429924146198436,0.0026953453115526028,L-Ankle Acc,L-Ankle Gyro
Crouching,3,16.324872145410183,40.3056976665599,2.796215098276586,-1.3502438698793005,0.365018169844099,0.0026640308176323724,L-Ankle Acc,L-Ankle Gyro
Crouching,4,15.089868069220957,40.05495496751521,4.518561060181088,-1.283569812167963,0.3775578186201012,0.0027385410373700634,L-Ankle Acc,L-Ankle Gyro
Crouching,5,12.97218640548696,45.233949492461335,4.47500260898508,-1.2252881167694067,0.44433793220347645,0.002654189342828608,L-Ankle Acc,L-Ankle Gyro
Crouching,6,16.82522087348119,45.24272262838491,10.513936426332409,-1.3069970339390757,0.3668898348869075,0.0027220518708197987,L-Ankle Acc,L-Ankle Gyro
Crouching,7,20.030162560132492,28.945348965076796,1.1508109811006966,-1.3462612083597048,0.3342027047092278,0.0030006344214862386,L-Ankle Acc,L-Ankle Gyro
Crouching,8,14.607419453358197,27.802266843962254,44.92570615222624,-1.3881767386451578,0.4063055391005099,0.0032362055057056516,L-Ankle Acc,L-Ankle Gyro
Crouching,9,25.51129976922731,37.41915124808571,3.067781751289628,-1.2671091889807404,0.2887350155029439,0.002740320859844486,L-Ankle Acc,L-Ankle Gyro
Crouching,10,27.215578664950073,41.33454981342428,3.979048776772193,-1.2236579846019113,0.27388031158334597,0.0027457653919644043,L-Ankle Acc,L-Ankle Gyro
Jump Front_Back,1,1.9517540451686446,32.47231170133792,-0.41640344350768643,-0.4881206887940004,4.4592100256441904,0.004577386014452619,L-Ankle Acc,L-Ankle Gyro
Jump Front_Back,2,2.1114255633521863,64.16320493633447,-0.672375796678895,0.5745777674879307,3.9337448703235496,0.003761800962184018,L-Ankle Acc,L-Ankle Gyro
Jump Front_Back,3,2.042081804347425,44.75289684219375,-0.7060825445071885,0.29682505370735557,4.407405485958264,0.005304734405126735,L-Ankle Acc,L-Ankle Gyro
Jump Front_Back,4,2.0896892360409502,49.59518429354377,-0.6529782554104386,-0.4585746072207302,4.400906661969049,0.004460345713813928,L-Ankle Acc,L-Ankle Gyro
Jump Front_Back,5,1.5008458853643836,43.69358219015322,-1.1648683460209022,-0.35562133148951336,4.379501018021696,0.0042927408741425975,L-Ankle Acc,L-Ankle Gyro
Jump Front_Back,6,2.071079434357991,47.066424168100475,-0.49689424364076107,-1.0984892792105094,4.547294374038637,0.0036574987411474988,L-Ankle Acc,L-Ankle Gyro
Jump Front_Back,7,1.8637831969985879,47.71655426487156,-0.5792105844038877,-0.9591096681077769,4.025736809427595,0.003672686399050043,L-Ankle Acc,L-Ankle Gyro
Jump Front_Back,8,2.191821617460871,44.17552795327444,-0.6540095646905648,-0.3515329610467197,4.673066039695784,0.00487812589379622,L-Ankle Acc,L-Ankle Gyro
Jump Front_Back,9,2.464060447822181,47.442636456244244,-0.28265245713100473,0.022917394595543428,3.8849296603736585,0.00512278883182249,L-Ankle Acc,L-Ankle Gyro
Jump Front_Back,10,1.8244602539905885,44.467248569667404,-0.9612413450606927,-0.1920503732729686,4.695107505514209,0.004520265035298158,L-Ankle Acc,L-Ankle Gyro
